,발행기관,표준코드,채권종류,종목명,상장일,발행일,상환일,표면이자율,발행금액 (백만),상장잔액 (백만),채권유형
,한국주택금융공사,KR354414GB39,사회적채권,한국주택금융공사MBS2021-6(1-5)(사),"2021/04/01","2021/03/26","2028/03/26","2.07600","260,000","260,000",특수채
,한국주택금융공사,KR354414GB47,사회적채권,한국주택금융공사MBS2021-8(1-5)(사),"2021/04/19","2021/04/13","2028/04/13","2.19000","270,000","270,000",특수채
,한국주택금융공사,KR354414GB62,사회적채권,한국주택금융공사MBS2021-14(1-5)(사),"2021/07/01","2021/06/25","2028/06/25","2.15500","240,000","240,000",특수채
,한국주택금융공사,KR354414GB70,사회적채권,한국주택금융공사MBS2021-16(1-3)(사),"2021/07/29","2021/07/23","2031/07/23","2.22100","210,000","210,000",특수채
,한국주택금융공사,KR354414GB88,사회적채권,한국주택금융공사MBS2021-19(1-1)(사),"2021/09/02","2021/08/27","2056/09/25","2.77000","104,521","92,783",특수채
,한국주택금융공사,KR354414GB96,사회적채권,한국주택금융공사MBS2021-21(1-4)(사),"2021/09/28","2021/09/17","2026/09/17","1.94400","330,000","330,000",특수채
,한국주택금융공사,KR354414GC20,사회적채권,한국주택금융공사MBS2022-3(1-4)(사),"2022/02/28","2022/02/22","2027/02/22","2.91700","240,000","240,000",특수채
,한국주택금융공사,KR354414GC38,사회적채권,한국주택금융공사MBS2022-5(1-8)(사),"2022/04/04","2022/03/29","2042/03/29","3.58000","40,000","40,000",특수채
,한국주택금융공사,KR354414GC46,사회적채권,한국주택금융공사MBS2022-7(1-4)(사),"2022/04/25","2022/04/19","2027/04/19","3.68700","120,000","120,000",특수채
,한국주택금융공사,KR354414GC53,사회적채권,한국주택금융공사MBS2022-10(1-4)(사),"2022/05/30","2022/05/24","2027/05/24","3.87500","240,000","240,000",특수채
,한국주택금융공사,KR354414GC61,사회적채권,한국주택금융공사MBS2022-12(1-3)(사),"2022/06/27","2022/06/21","2025/06/21","4.14000","40,000","40,000",특수채
,한국주택금융공사,KR354414GC79,사회적채권,한국주택금융공사MBS2022-15(1-6)(사),"2022/07/28","2022/07/22","2032/07/22","4.12200","120,000","120,000",특수채
,한국주택금융공사,KR354414GC87,사회적채권,한국주택금융공사MBS2022-17(1-3)(사),"2022/08/29","2022/08/23","2025/08/23","3.76500","90,000","90,000",특수채
,한국주택금융공사,KR354415G942,사회적채권,한국주택금융공사MBS2019-9(1-7)(사),"2019/04/29","2019/04/23","2034/04/23","2.02400","80,000","80,000",특수채
,한국주택금융공사,KR354415G983,사회적채권,한국주택금융공사MBS2019-16(1-8)(사),"2019/08/29","2019/08/23","2039/08/23","1.36100","20,000","20,000",특수채
,한국주택금융공사,KR354415G9A7,사회적채권,한국주택금융공사MBS2019-20(1-7)(사),"2019/10/31","2019/10/25","2034/10/25","2.07200","90,000","90,000",특수채
,한국주택금융공사,KR354415G9B5,사회적채권,한국주택금융공사MBS2019-23(1-6)(사),"2019/11/25","2019/11/19","2029/11/19","2.02700","140,000","140,000",특수채
,한국주택금융공사,KR354415G9C3,사회적채권,한국주택금융공사MBS2019-26(1-7)(사),"2019/12/27","2019/12/20","2034/12/20","1.80400","110,000","110,000",특수채
,한국주택금융공사,KR354415GA13,사회적채권,한국주택금융공사MBS2020-2(1-7)(사),"2020/01/23","2020/01/17","2035/01/17","2.00400","130,000","130,000",특수채
,한국주택금융공사,KR354415GA21,사회적채권,한국주택금융공사MBS2020-5(1-7)(사),"2020/02/20","2020/02/14","2035/02/14","1.88500","200,000","200,000",특수채
,한국주택금융공사,KR354415GA39,사회적채권,한국주택금융공사MBS2020-8(1-7)(사),"2020/03/19","2020/03/13","2035/03/13","1.54800","80,000","80,000",특수채
,한국주택금융공사,KR354415GA47,사회적채권,한국주택금융공사MBS2020-11(1-3)(사),"2020/04/27","2020/04/21","2023/04/21","1.25000","80,000","80,000",특수채
,한국주택금융공사,KR354415GA54,사회적채권,한국주택금융공사MBS2020-15(1-3)(사),"2020/05/25","2020/05/19","2023/05/19","1.12500","110,000","110,000",특수채
,한국주택금융공사,KR354415GA62,사회적채권,한국주택금융공사MBS2020-19(1-6)(사),"2020/06/22","2020/06/16","2030/06/16","1.76200","170,000","170,000",특수채
,한국주택금융공사,KR354415GA70,사회적채권,한국주택금융공사MBS2020-24(1-7)(사),"2020/07/27","2020/07/21","2035/07/21","1.82700","80,000","80,000",특수채
,한국주택금융공사,KR354415GA88,사회적채권,한국주택금융공사MBS2020-28(1-7)(사),"2020/08/27","2020/08/21","2035/08/21","1.70800","100,000","100,000",특수채
,한국주택금융공사,KR354415GA96,사회적채권,한국주택금융공사MBS2020-31(1-3)(사),"2020/09/25","2020/09/22","2030/09/22","1.70500","160,000","160,000",특수채
,한국주택금융공사,KR354415GAA7,사회적채권,한국주택금융공사MBS2020-34(1-2)(사),"2020/11/02","2020/10/27","2025/10/27","1.46800","360,000","360,000",특수채
,한국주택금융공사,KR354415GAB5,사회적채권,한국주택금융공사MBS2020-37(1-2)(사),"2020/11/30","2020/11/24","2025/11/24","1.54400","360,000","360,000",특수채
,한국주택금융공사,KR354415GAC3,사회적채권,한국주택금융공사MBS2020-39(1-6)(사),"2020/12/17","2020/12/11","2030/12/11","1.91500","140,000","140,000",특수채
,한국주택금융공사,KR354415GB12,사회적채권,한국주택금융공사MBS2021-2(1-6)(사),"2021/01/28","2021/01/22","2031/01/22","1.92700","180,000","180,000",특수채
,한국주택금융공사,KR354415GB38,사회적채권,한국주택금융공사MBS2021-6(1-6)(사),"2021/04/01","2021/03/26","2031/03/26","2.30200","200,000","200,000",특수채
,한국주택금융공사,KR354415GB46,사회적채권,한국주택금융공사MBS2021-8(1-6)(사),"2021/04/19","2021/04/13","2031/04/13","2.36500","210,000","210,000",특수채
,한국주택금융공사,KR354415GB53,사회적채권,한국주택금융공사MBS2021-12(1-2)(사),"2021/05/31","2021/05/25","2023/05/25","1.03900","180,000","180,000",특수채
,한국주택금융공사,KR354415GB61,사회적채권,한국주택금융공사MBS2021-14(1-6)(사),"2021/07/01","2021/06/25","2031/06/25","2.39400","190,000","190,000",특수채
,한국주택금융공사,KR354415GB79,사회적채권,한국주택금융공사MBS2021-16(1-4)(사),"2021/07/29","2021/07/23","2041/07/23","2.27100","90,000","90,000",특수채
,한국주택금융공사,KR354415GC29,사회적채권,한국주택금융공사MBS2022-3(1-5)(사),"2022/02/28","2022/02/22","2029/02/22","3.24200","140,000","140,000",특수채
,한국주택금융공사,KR354415GC37,사회적채권,한국주택금융공사MBS2022-5(1-9)(사),"2022/04/04","2022/03/29","2052/03/29","3.48000","10,000","10,000",특수채
,한국주택금융공사,KR354415GC45,사회적채권,한국주택금융공사MBS2022-7(1-5)(사),"2022/04/25","2022/04/19","2029/04/19","3.97700","70,000","70,000",특수채
,한국주택금융공사,KR354415GC52,사회적채권,한국주택금융공사MBS2022-10(1-5)(사),"2022/05/30","2022/05/24","2029/05/24","4.04700","140,000","140,000",특수채
