CODE,CO_NM,rcept_no,biz_no
003850,보령제약,20220317001028,2088100281
005690,파미셀,20220315000612,3148100664
007700,F&F홀딩스,20220816001167,2148609977
105630,한세실업,20220324000782,1378192214
006120,SK디스커버리,20220322000926,1358101191
000640,동아쏘시오홀딩스,20220318000656,2048100130
192650,드림텍,20220812000858,3128131249
192820,코스맥스,20220816001048,1438119635
009970,영원무역홀딩스,20220321001406,1108123629
064960,SNT모티브,20220218001046,6218147887
000070,삼양홀딩스,20220322001008,2088101320
057050,현대홈쇼핑,20220324000867,2118676540
003000,부광약품,20220812001267,1188100450
003030,세아제강지주,20220314001220,1068160926
210980,SK디앤디,20220315000199,1018604792
034310,NICE,20220323001331,2148174186
097520,엠씨넥스,20220315000841,1198177345
007340,디티알오토모티브,20220321001500,6218101580
001430,세아베스틸,20220317000967,1138106798
085620,미래에셋생명,20220317001289,3058108605
003470,유안타증권,20220317000941,1168134293
005090,SGC에너지,20220812000745,2148189700
001060,JW중외제약,20220321001347,1188102477
003280,흥아해운,20220816000435,1208162522
170900,동아에스티,20220321001316,2048640122
002240,고려제강,20220317001248,6178100049
004430,송원산업,20220303000087,6108107100
017810,풀무원,20220322001067,3158101744
005180,빙그레,20220812000681,1328100631
007810,코리아써키트,20220318000919,1348107528
082740,HSD엔진,20220316000731,6098140128
093050,LF,20220318000553,2118787724
007690,국도화학,20220310001195,1198104497
123890,한국자산신탁,20220316000635,1078197673
001470,삼부토건,20220321001328,1048100771
011930,신성이엔지,20220713000340,1348103352
034830,한국토지신탁,20220316000546,1208163986
306200,세아제강,20220314001229,5688601173
007660,이수페타시스,20220323001140,5148116131
007570,일양약품,20220317000353,2098100872
005420,코스모화학,20220322001034,1058133052
005950,이수화학,20220323001389,1148154648
003580,넥스트사이언스,20220322000988,2258100025
037560,LG헬로비전,20220303000727,1178113423
145990,삼양사,20220812000103,1018666838
002320,한진,20220812000715,2018102823
001530,DI동일,20220317000939,1208114879
030610,교보증권,20220315000921,1168104407
