CO_NM,CODE,SIZE
카프로,006380,11.571605053883946
모나리자,012690,10.982433502052132
계양전기,012200,11.469581283702803
세이브존I&C,067830,11.747003001480953
태경비케이,014580,11.326082825976158
태경비케이,014580,11.332005038077122
CJ씨푸드,011150,11.140075702828657
KC그린홀딩스,009440,11.209511379187711
웅진,016880,11.639290983607552
플레이그램,009810,10.769667259107461
플레이그램,009810,11.129248753301995
SG세계물산,004060,11.494069162271867
인지컨트롤스,023800,11.602027397943537
IHQ,003560,11.402088997372157
SH에너지화학,002360,11.083483589682627
일진디스플,020760,11.190563368534646
대유플러스,000300,11.491307973748247
대원전선,006340,11.384550668797958
일신석재,007110,11.02794569622968
팜젠사이언스,004720,11.005628134926194
팜젠사이언스,004720,11.275073723110477
가온전선,000500,11.82546553069642
한솔홈데코,025750,11.484209039810956
크라운해태홀딩스,005740,11.557211794156968
상상인증권,001290,11.757219439266711
한국화장품제조,003350,10.955519598812046
지엠비코리아,013870,11.65429102002589
신영와코루,005800,11.579644583301965
삼원강재,023000,11.441938322696718
조흥,002600,11.44623039381832
보락,002760,10.751585518290613
한일철강,002220,11.529151611622126
휴니드,005870,11.449434374784618
신세계건설,034300,11.892686171906286
대원화성,024890,11.135193732684042
마니커,027740,11.246812704655978
국제약품,002720,11.15931110909067
이구산업,025820,11.492233452221745
웰바이오텍,010600,10.777209209181464
웰바이오텍,010600,10.690567631035185
덕성,004830,11.083211741717355
삼일씨엔에스,004440,11.515284871042914
삼일씨엔에스,004440,11.531366991255643
STX,011810,11.624534759018157
한창제지,009460,11.404311378252107
대유에이텍,002880,11.650944315104354
세원이앤씨,091090,11.48749996834304
서울식품,004410,10.878188120226316
동방아그로,007590,11.354354501846883
콤텍시스템,031820,11.229589111186254
대현,016090,11.435095034955053
현대코퍼레이션홀딩스,227840,11.379810142084361
아센디오,012170,10.802872341550742
한솔로지스틱스,009180,11.232256917991572
이건산업,008250,11.399559269165023
두올,016740,11.432431063363037
한국수출포장,002200,11.461664910429844
한국수출포장,002200,11.51094574432436
천일고속,000650,10.780425193334105
삼성공조,006660,11.38531244007679
국보,001140,10.904624403805236
국보,001140,10.739174660359746
유니온머티리얼,047400,11.14306365719728
유니온머티리얼,047400,11.245024554721045
태평양물산,007980,11.856796890108505
대우부품,009320,10.95275921601804
DSR,155660,11.389499538157613
시디즈,134790,11.035374031161108
시디즈,134790,10.362060421828195
DRB동일,004840,11.479875868333723
인바이오젠,101140,10.885579913491803
인바이오젠,101140,11.37175963101238
오리엔트바이오,002630,11.020990754312473
삼영화학,003720,10.922267494204451
동일고무벨트,163560,11.516650414939726
사조오양,006090,11.501565424337391
유니온,000910,11.303031065331233
까뮤이앤씨,013700,11.29752724177812
화승코퍼레이션,013520,11.472529104407963
유니켐,011330,11.322144535837797
하이스틸,071090,11.439412446552142
KTcs,058850,11.488083726473501
화인베스틸,133820,11.245411166786866
부산산업,011390,10.635719147320795
인터지스,129260,11.578146769336001
전방,000950,11.597987497850921
한국종합기술,023350,11.530779120531877
KTis,058860,11.563897728142917
KTis,058860,11.349895585906216
경동인베스트,012320,11.49011299777518
호전실업,111110,11.386878106992334
핸즈코퍼레이션,143210,11.786100591716803
에넥스,011090,11.083863738055026
세원정공,021820,11.467157422781664
조광페인트,004910,11.563461418576132
우리들휴브레인,118000,11.100916466414928
우리들휴브레인,118000,11.235014707607565
삼화왕관,004450,11.359285195631008
세하,027970,11.294402799963933
영흥,012160,11.5847616888349
영흥,012160,11.458953202647338
제이준코스메틱,025620,10.836643490779723
한국프랜지,010100,11.66818383476118
우성,006980,11.258946429075323
우성,006980,11.458467586296521
평화산업,090080,11.351464780626959
에쓰씨엔지니어링,023960,10.87244216993496
유성기업,002920,11.455952120829355
페이퍼코리아,001020,11.563624754187252
문배철강,008420,11.367182461550623
부국철강,026940,11.183011418835525
한창,005110,10.835385618001547
DSR제강,069730,11.385264259057786
금비,008870,11.19024449448766
우진플라임,049800,11.460465571516952
에이엔피,015260,10.909099737630019
삼정펄프,009770,11.36727907547432
서원,021050,11.372518676207068
동일제강,002690,11.280443554566956
동양피스톤,092780,11.477020061176512
SG글로벌,001380,11.265482931963176
SG글로벌,001380,11.249244111170956
모나미,005360,11.206973749893809
한국전자홀딩스,006200,11.144560866781065
티웨이홀딩스,004870,10.975215249580494
SUN&L,002820,11.667470986589223
SUN&L,002820,11.628535039789297
KR모터스,000040,10.965578535637453
대림통상,006570,11.19534016204067
인디에프,014990,11.061855862479224
화천기계,010660,11.214445095361295
티에이치엔,019180,11.476740938631352
이스타코,015020,10.910092984260245
케이비아이동국실업,001620,11.493297341744345
케이비아이동국실업,001620,11.577314973831538
원림,005820,11.045911969407989
SJM,123700,11.222446004380963
태양금속,004100,11.572713715681592
진양폴리,010640,10.683012464138624
비비안,002070,11.300435896127153
WISCOM,024070,11.140366598419936
씨아이테크,004920,10.76204386542892
형지엘리트,093240,10.988801372094304
주연테크,044380,10.764145348566263
갤럭시아에스엠,011420,10.650804418988766
SJM홀딩스,025530,11.229490001178197
센트럴인사이트,012600,10.528516165378146
우진아이엔에스,010400,11.046770247819522
동양고속,084670,11.211350462283981
이화산업,000760,10.987815569361233
동원수산,030720,10.996897330932043
미래아이앤지,007120,10.995583932145504
동원금속,018500,11.418449960626184
한성기업,003680,11.324250468331165
경인전자,009140,10.767090419357205
태원물산,001420,10.565224782403718
SHD,001770,10.9490188916889
SHD,001770,10.780594646348117
금호전기,001210,10.88603118147723
삼화전자,011230,10.75990367966456
한국주강,025890,10.725123988311859
한솔PNS,010420,11.07121478115139
코아스,071950,10.912339245318755
일정실업,008500,10.737601586212943
비케이탑스,030790,11.032021606510977
비케이탑스,030790,10.955382123412344
