CO_NM,CODE,type
SNT중공업,003570,5
에이프로젠제약,003060,2
대성산업,128820,5
대한제분,001130,6
KPX케미칼,025000,0
휴비스,079980,0
경인양행,012610,0
일동홀딩스,000230,2
사조동아원,008040,6
KSS해운,044450,5
KH 필룩스,033180,4
HDC아이콘트롤스,039570,8
부국증권,001270,1
KISCO홀딩스,001940,7
서연이화,200880,5
신세계푸드,031440,3
경농,002100,0
태림포장,011280,7
삼성제약,001360,2
백산,035150,0
예스코홀딩스,015360,3
흥국화재,000540,1
LS네트웍스,000680,5
금강공업,014280,7
신송홀딩스,006880,5
세방,004360,5
고려산업,002140,6
JW생명과학,234080,2
해태제과식품,101530,6
백광산업,001340,0
한농화성,011500,0
동성제약,002210,2
샘표,007540,1
넥센,005720,0
무학,033920,6
현대비앤지스틸,004560,7
한국주철관,000970,7
팜스코,036580,6
삼화페인트,000390,0
디아이,003160,2
일성건설,013360,8
디와이,013570,1
이엔플러스,074610,4
대원강업,000430,5
수산중공업,017550,4
휴스틸,005010,7
그린케미칼,083420,0
대영포장,014160,7
효성ITX,094280,3
서연,007860,1
신라교역,004970,6
노루페인트,090350,0
디아이씨,092200,5
동아타이어,282690,0
신일전자,002700,5
영풍제지,006740,7
제주은행,006220,1
조선선재,120030,4
DB,012030,3
아시아나IDT,267850,3
대창단조,015230,5
쎌마테라퓨틱스,015540,3
삼양통상,002170,6
신흥,004080,5
한라,014790,8
세종공업,033530,5
유수홀딩스,000700,3
한신공영,004960,8
한국석유,004090,7
현대약품,004310,2
에이블씨엔씨,078520,0
노루홀딩스,000320,1
성창기업지주,000180,3
미창석유,003650,0
디와이파워,210540,4
강남제비스코,000860,0
광명전기,017040,4
SNT에너지,100840,4
한국내화,010040,7
광전자,017900,4
한양증권,001750,1
한미글로벌,053690,3
동방,004140,5
극동유화,014530,0
깨끗한나라,004540,7
삼익악기,002450,6
대창,012800,7
NI스틸,008260,7
경동도시가스,267290,0
한국공항,005430,5
남광토건,001260,8
세아특수강,019440,7
한국화장품,123690,5
이아이디,093230,5
대구백화점,006370,5
카프로,006380,0
모나리자,012690,7
계양전기,012200,4
세이브존I&C,067830,5
태경비케이,014580,7
CJ씨푸드,011150,6
KC그린홀딩스,009440,1
웅진,016880,3
플레이그램,009810,5
SG세계물산,004060,5
인지컨트롤스,023800,5
IHQ,003560,3
SH에너지화학,002360,0
일진디스플,020760,4
대유플러스,000300,4
대원전선,006340,4
일신석재,007110,5
팜젠사이언스,004720,2
가온전선,000500,4
한솔홈데코,025750,7
크라운해태홀딩스,005740,1
상상인증권,001290,1
한국화장품제조,003350,0
지엠비코리아,013870,5
신영와코루,005800,6
삼원강재,023000,5
조흥,002600,6
보락,002760,0
한일철강,002220,7
휴니드,005870,4
신세계건설,034300,8
대원화성,024890,0
마니커,027740,6
국제약품,002720,2
이구산업,025820,7
웰바이오텍,010600,5
덕성,004830,0
삼일씨엔에스,004440,7
STX,011810,5
한창제지,009460,7
대유에이텍,002880,5
세원이앤씨,091090,4
서울식품,004410,6
동방아그로,007590,0
콤텍시스템,031820,3
대현,016090,6
현대코퍼레이션홀딩스,227840,5
아센디오,012170,3
