CODE,CO_NM,PER,PBR,DVR
008930,한미사이언스,39.08,2.78,0.67
030000,제일기획,14.29,2.01,4.34
052690,한전기술,109.64,3.58,0.49
007070,GS리테일,3.08,0.61,5.04
272210,한화시스템,104.59,0.89,1.56
026960,동서,16.62,1.34,3.62
012750,에스원,16.93,1.29,4.57
112610,씨에스윈드,149.76,2.96,0.97
047040,대우건설,3.96,0.47,
047050,포스코인터내셔널,4.93,0.69,3.77
001440,대한전선,34.74,1.94,
064350,현대로템,30.68,1.92,
204320,만도,18.29,0.94,1.95
138930,BNK금융지주,2.42,0.21,9.11
039490,키움증권,3.18,0.47,4.77
004170,신세계,5.55,0.58,1.32
006260,LS,5.83,0.44,2.50
006280,녹십자,10.63,1.02,1.76
336260,두산퓨얼셀,207.20,3.88,
000880,한화,2.17,0.79,3.23
081660,휠라홀딩스,8.64,1.01,3.35
111770,영원무역,4.13,0.75,2.35
004800,효성,5.06,0.55,9.04
093370,후성,13.98,3.39,0.13
004370,농심,15.24,0.73,1.41
005300,롯데칠성,8.54,1.05,2.14
003090,대웅,9.39,0.96,0.55
336370,솔루스첨단소재,126.68,2.21,0.34
014820,동원시스템즈,26.82,1.82,1.39
007310,오뚜기,10.79,0.95,1.82
009240,한샘,29.73,1.16,4.01
000210,DL,7.61,0.31,3.36
005070,코스모신소재,67.87,7.05,
005850,에스엘,12.72,0.80,1.79
175330,JB금융지주,2.59,0.33,8.32
120110,코오롱인더,6.63,0.50,3.11
139130,DGB금융지주,2.32,0.22,9.00
001120,LX인터내셔널,3.11,0.72,5.47
042700,한미반도체,10.04,3.04,2.62
001230,동국제강,1.33,0.33,3.62
000240,한국앤컴퍼니,4.87,0.29,5.17
010780,아이에스동서,4.03,0.67,4.10
016710,대성홀딩스,64.59,3.05,0.27
020560,아시아나항공,,3.14,
019170,신풍제약,,2.88,
000150,두산,,0.60,2.63
018670,SK가스,4.35,0.44,4.61
017800,현대엘리베이,5.11,0.77,3.66
031430,신세계인터내셔날,8.93,1.16,1.21
042670,현대두산인프라코어,1.80,0.58,
181710,NHN,10.42,0.40,
001740,SK네트웍스,19.41,0.37,3.15
268280,미원에스씨,10.19,2.38,1.22
003690,코리안리,8.07,0.27,7.24
003240,태광산업,4.66,0.16,0.25
073240,금호타이어,,0.73,
000670,영풍,6.53,0.30,1.58
079160,CJ CGV,,13.00,
145720,덴티움,10.78,2.05,0.30
178920,PI첨단소재,16.54,2.93,3.43
300720,한일시멘트,10.02,0.50,5.27
005250,녹십자홀딩스,23.20,0.68,2.64
082640,동양생명,3.47,0.35,12.70
214320,이노션,13.72,0.94,4.56
002840,미원상사,12.92,2.57,3.56
032350,롯데관광개발,,2.02,
009420,한올바이오파마,708.33,4.29,
014830,유니드,5.26,0.69,1.95
013890,지누스,10.31,0.80,2.78
005880,대한해운,2.20,0.41,
249420,일동제약,,2.86,
069260,휴켐스,10.62,1.08,5.03
114090,GKL,,2.53,
011000,진원생명과학,,3.75,
089590,제주항공,,4.39,
010050,우리종금,7.48,0.97,2.87
023590,다우기술,2.69,0.35,3.54
003540,대신증권,4.14,0.34,10.04
005440,현대그린푸드,12.65,0.29,3.49
020000,한섬,4.91,0.43,2.42
039130,하나투어,,5.67,
004490,세방전지,8.85,0.40,1.68
004690,삼천리,14.55,0.65,1.11
241590,화승엔터프라이즈,,1.05,0.45
272450,진에어,,6.44,
001680,대상,5.62,0.58,3.91
192080,더블유게임즈,13.37,0.87,1.53
003530,한화투자증권,5.58,0.27,8.79
003850,보령제약,11.99,1.23,1.09
005690,파미셀,40.81,6.54,
007700,F&F홀딩스,4.67,0.27,1.27
105630,한세실업,7.93,1.11,3.53
006120,SK디스커버리,2.94,0.23,5.09
000640,동아쏘시오홀딩스,12.21,0.61,1.59
192650,드림텍,7.29,1.68,2.94
192820,코스맥스,9.09,0.79,1.29
009970,영원무역홀딩스,2.19,0.33,3.94
064960,SNT모티브,6.71,0.63,3.99
000070,삼양홀딩스,3.40,0.27,4.89
057050,현대홈쇼핑,5.59,0.26,5.42
003000,부광약품,,1.78,1.47
003030,세아제강지주,2.48,0.40,1.28
210980,SK디앤디,3.58,0.73,3.73
034310,NICE,10.85,0.61,3.05
097520,엠씨넥스,9.39,1.46,1.93
007340,디티알오토모티브,5.01,0.51,3.37
001430,세아베스틸,3.38,0.31,9.06
085620,미래에셋생명,4.90,0.27,3.82
003470,유안타증권,55.33,0.33,7.23
005090,SGC에너지,5.69,0.71,4.97
001060,JW중외제약,45.13,1.94,1.84
003280,흥아해운,,3.66,
170900,동아에스티,37.71,0.61,2.12
002240,고려제강,2.83,0.24,1.75
004430,송원산업,2.99,0.61,1.24
017810,풀무원,46.54,0.85,1.01
005180,빙그레,,0.58,3.80
007810,코리아써키트,4.42,0.83,
082740,HSD엔진,,3.02,
093050,LF,3.27,0.31,3.96
007690,국도화학,2.60,0.44,4.98
123890,한국자산신탁,3.39,0.42,7.33
001470,삼부토건,119.09,0.85,
011930,신성이엔지,,1.89,
034830,한국토지신탁,3.16,0.30,7.41
306200,세아제강,2.51,0.49,2.60
007660,이수페타시스,6.28,1.83,
007570,일양약품,14.90,1.31,1.24
005420,코스모화학,45.08,3.80,
005950,이수화학,9.45,2.02,2.28
003580,넥스트사이언스,,3.04,
037560,LG헬로비전,10.07,0.48,2.70
145990,삼양사,8.37,0.27,3.63
002320,한진,71.93,0.22,3.10
001530,DI동일,7.43,0.44,1.46
030610,교보증권,3.75,0.24,9.04
286940,롯데정보통신,18.05,0.83,3.15
161000,애경케미칼,4.97,0.62,5.82
322000,현대에너지솔루션,49.78,1.87,
003070,코오롱글로벌,2.26,0.49,3.85
004890,동일산업,9.94,0.92,2.29
071840,롯데하이마트,,0.16,8.23
012630,HDC,22.29,0.13,4.51
002900,TYM,3.31,0.87,1.03
115390,락앤락,22.15,0.43,
138490,코오롱플라스틱,13.69,1.51,1.58
053210,스카이라이프,6.44,0.45,4.57
006390,한일현대시멘트,7.75,0.98,6.96
084010,대한제강,2.08,0.34,3.36
068400,SK렌터카,12.19,0.57,
058650,세아홀딩스,4.28,0.18,2.90
108670,LX하우시스,,0.37,0.97
008490,서흥,8.95,0.84,1.60
018250,애경산업,19.27,0.80,1.86
281820,케이씨텍,5.38,0.73,1.53
002270,롯데푸드,,,
092220,KEC,24.09,1.18,
016800,퍼시스,28.82,0.54,3.99
226320,잇츠한불,,0.65,1.44
130660,한전산업,21.87,2.77,2.57
071320,지역난방공사,,0.20,2.83
033270,유나이티드제약,8.61,0.96,1.79
007460,에이프로젠 MED,,0.52,
016590,신대양제지,6.45,0.56,1.53
001510,SK증권,17.32,0.42,2.34
122900,아이마켓코리아,11.15,0.91,5.74
005500,삼진제약,15.10,1.22,3.47
015860,일진홀딩스,8.51,0.41,3.95
003220,대원제약,10.88,1.36,1.30
003300,한일홀딩스,4.74,0.22,5.09
000050,경방,14.63,0.34,1.20
077970,STX엔진,148.12,1.17,
