CO_NM,CODE,green_corp
진원생명과학,011000,0
제주항공,089590,0
우리종금,010050,0
다우기술,023590,0
대신증권,003540,0
현대그린푸드,005440,0
한섬,020000,0
하나투어,039130,0
세방전지,004490,0
삼천리,004690,0
화승엔터프라이즈,241590,0
진에어,272450,0
대상,001680,0
더블유게임즈,192080,0
한화투자증권,003530,0
보령제약,003850,0
파미셀,005690,0
F&F홀딩스,007700,0
한세실업,105630,0
SK디스커버리,006120,0
동아쏘시오홀딩스,000640,0
드림텍,192650,0
코스맥스,192820,0
영원무역홀딩스,009970,0
SNT모티브,064960,0
삼양홀딩스,000070,0
현대홈쇼핑,057050,0
부광약품,003000,0
세아제강지주,003030,0
SK디앤디,210980,0
NICE,034310,0
엠씨넥스,097520,0
디티알오토모티브,007340,0
세아베스틸,001430,0
미래에셋생명,085620,0
유안타증권,003470,0
SGC에너지,005090,0
JW중외제약,001060,0
흥아해운,003280,0
동아에스티,170900,0
고려제강,002240,0
송원산업,004430,0
풀무원,017810,0
빙그레,005180,0
코리아써키트,007810,0
HSD엔진,082740,0
LF,093050,0
국도화학,007690,0
한국자산신탁,123890,0
삼부토건,001470,1
신성이엔지,011930,1
한국토지신탁,034830,0
세아제강,306200,0
이수페타시스,007660,0
일양약품,007570,0
코스모화학,005420,0
이수화학,005950,0
넥스트사이언스,003580,0
LG헬로비전,037560,0
삼양사,145990,0
한진,002320,0
DI동일,001530,0
교보증권,030610,0
롯데정보통신,286940,0
애경케미칼,161000,0
현대에너지솔루션,322000,0
코오롱글로벌,003070,1
동일산업,004890,0
롯데하이마트,071840,0
HDC,012630,0
TYM,002900,0
락앤락,115390,0
코오롱플라스틱,138490,0
스카이라이프,053210,0
한일현대시멘트,006390,0
대한제강,084010,0
SK렌터카,068400,0
세아홀딩스,058650,0
LX하우시스,108670,0
서흥,008490,0
애경산업,018250,0
케이씨텍,281820,0
롯데푸드,002270,0
KEC,092220,0
퍼시스,016800,0
잇츠한불,226320,0
한전산업,130660,0
지역난방공사,071320,0
유나이티드제약,033270,0
에이프로젠 MED,007460,0
신대양제지,016590,0
SK증권,001510,0
아이마켓코리아,122900,0
삼진제약,005500,0
일진홀딩스,015860,0
대원제약,003220,0
한일홀딩스,003300,0
경방,000050,0
STX엔진,077970,0
광동제약,009290,0
한국콜마홀딩스,024720,0
하나제약,293480,0
한국쉘석유,002960,0
조선내화,000480,0
미원홀딩스,107590,0
도화엔지니어링,002150,0
현대차증권,001500,0
테이팩스,055490,0
한신기계,011700,0
디피씨,026890,0
환인제약,016580,0
한솔제지,213500,0
대한제당,001790,0
제일약품,271980,0
NPC,004250,0
금호건설,002990,0
코오롱,002020,0
종근당홀딩스,001630,0
한국철강,104700,0
대상홀딩스,084690,0
에어부산,298690,0
GS글로벌,001250,0
TCC스틸,002710,0
금호에이치티,214330,0
대동,000490,0
일진다이아,081000,0
알루코,001780,0
광주신세계,037710,0
모토닉,009680,0
동양,001520,0
동화약품,000020,0
SBS미디어홀딩스,101060,0
웅진씽크빅,095720,0
풍산홀딩스,005810,0
태영건설,009410,1
유진투자증권,001200,0
키다리스튜디오,020120,0
화승인더,006060,0
일진전기,103590,1
삼익THK,004380,0
디씨엠,024090,0
SNT홀딩스,036530,0
케이씨,029460,0
동부건설,005960,1
우진,105840,0
KPX홀딩스,092230,0
이월드,084680,0
무림P&P,009580,0
삼영무역,002810,0
금양,001570,0
유니퀘스트,077500,0
동아지질,028100,0
인스코비,006490,0
삼성출판사,068290,0
한독,002390,0
신세계 I&C,035510,0
SNT중공업,003570,0
에이프로젠제약,003060,0
대성산업,128820,0
대한제분,001130,0
KPX케미칼,025000,0
휴비스,079980,0
경인양행,012610,0
일동홀딩스,000230,0
사조동아원,008040,0
KSS해운,044450,0
KH 필룩스,033180,0
