CODE,CO_NM,major_hldr,minor_hldr
272210,한화시스템,0.5956,0.02
026960,동서,0.6689,0.02
012750,에스원,0.2565,0.03
112610,씨에스윈드,0.4346,0.04
047040,대우건설,0.5075999999999999,0.04
047050,포스코인터내셔널,0.633,0.02
001440,대한전선,0.4,0.05
064350,현대로템,0.33770000000000006,0.06
204320,만도,0.30260000000000004,0.05
138930,BNK금융지주,0.1281,0.06
039490,키움증권,0.5308999999999999,0.04
004170,신세계,0.2857,0.05
006260,LS,0.3223,0.04
006280,녹십자,0.5139,0.04
336260,두산퓨얼셀,0.7291,0.05
000880,한화,0.5895999999999999,0.04
081660,휠라홀딩스,0.2165,0.06
111770,영원무역,0.5073,0.02
004800,효성,0.5517,0.02
093370,후성,0.4682,0.04
004370,농심,0.4549,0.04
005300,롯데칠성,1.0893000000000002,0.02
003090,대웅,0.38060000000000005,0.02
336370,솔루스첨단소재,0.4106,0.04
014820,동원시스템즈,1.2116999999999998,0.01
007310,오뚜기,0.6364,0.02
009240,한샘,0.2772,0.02
000210,DL,0.495,0.04
005070,코스모신소재,0.29600000000000004,0.07
005850,에스엘,0.6246,0.01
175330,JB금융지주,0.1461,0.05
120110,코오롱인더,0.4307,0.05
139130,DGB금융지주,0.129,0.06
001120,LX인터내셔널,0.24760000000000001,0.06
042700,한미반도체,0.5577000000000001,0.04
001230,동국제강,0.2627,0.05
000240,한국앤컴퍼니,0.7243,0.02
010780,아이에스동서,0.5474,0.03
016710,대성홀딩스,0.7273999999999999,0.01
020560,아시아나항공,0.3077,0.05
019170,신풍제약,0.466,0.06
000150,두산,0.831,0.02
018670,SK가스,0.7234999999999999,0.02
017800,현대엘리베이,0.265,0.04
031430,신세계인터내셔날,0.5405,0.03
042670,현대두산인프라코어,0.3336,0.05
181710,NHN,0.4758,0.04
001740,SK네트웍스,0.4227,
268280,미원에스씨,0.7236,0.02
003690,코리안리,0.1924,0.03
003240,태광산업,0.5453,0.01
073240,금호타이어,0.45,0.02
000670,영풍,0.7404999999999999,0.01
079160,CJ CGV,0.40020000000000006,0.05
145720,덴티움,0.1898,0.05
178920,PI첨단소재,0.5415,0.03
300720,한일시멘트,1.4664,0.01
